claim_id	class	claim_or_question	source_id	locator	corresponding_document_or_code	verification_scope
C01	author_report	NISE feeds selected predicted backbone-ligand coordinates back into sequence design	S1	NISE sampling algorithm; Fig. 1	docs/01_story.md; docs/03_methods.md	Text-grounded; model not run
C02	author_report	Exatecan main design uses RFAA; apixaban uses Boltz-2	S1	Exatecan and apixaban design sections	docs/01_story.md; configs/paper_profiles.json	Separate branches; no unified historical config claimed
C03	author_report	Streptavidin evaluation includes strict fold holdout and ligand-present/absent controls	S1	Fig. 2; Extended Data Fig. 2	docs/02_design_and_figures.md	Full split files not inspected
C04	author_report	Exatecan initial scaffold collection contains 40 high-confidence four-helix bundles	S1	Exatecan scaffold design section	docs/01_story.md	Reported count; scaffolds not regenerated
C05	author_report	NISE starting exatecan pose chosen computationally before experimental characterization; sequence discarded	S1	Design of exatecan binders using NISE	docs/01_story.md; docs/02_design_and_figures.md	Historical inputs not recovered
C06	author_report	Exatecan main loop selects three structures and samples 1000 sequences per selected structure next round	S1	Design of exatecan binders using NISE	docs/03_methods.md; configs/paper_profiles.json	Not merged with Fig. 1c or public defaults
C07	author_report	Four selected exatecan designs bind; three have Kd below 10 micromolar	S1	Characterization of exatecan binders; Fig. 3	docs/01_story.md; docs/07_statistics.md	Selected-test-set denominator, not universal success rate
C08	author_report	Proofreading uses Amber-relaxed RFAA-predicted EPIC rather than final crystal structure	S1	Neural proofreading; Fig. 4	docs/01_story.md; docs/03_methods.md	Model not run
C09	author_report	Reported Kd point estimates for WT Q51N M97L double are 120 8.0 7.4 1.2 nM	S1	Figs. 3f and 4c	docs/07_statistics.md; scripts/run_demo.py	Reported centers only; no raw-curve refit
C10	mathematical_derivation	Strictly independent double-mutant expectation from published centers is 0.493333 nM	S1 plus mass-action algebra	K_AB_expected = K_A K_B / K_W	scripts/binding.py::mutant_cycle	Own arithmetic; no significance test
C11	mathematical_derivation	Coupling from those centers at illustrative 298.15 K is about +0.527 kcal/mol	S1 plus mass-action algebra	RT ln(K_AB K_W / K_A K_B)	docs/07_statistics.md; checks/verification.json	Temperature assumed for illustration, not recovered assay condition
C12	author_report	EPIC and Q51N crystal structures are deposited as 9NZE and 9NZG	S1; S10	Fig. 4; Data availability	docs/01_story.md	No independent PDB or electron-density analysis
C13	author_report	Fig. 5 reports buffer-condition lactone protection and distinct HSA baseline handling	S1	Fig. 5 caption and text	docs/01_story.md; docs/07_statistics.md	No raw spectra fit and no in-vivo efficacy inference
C14	author_report	Apixaban prescreen uses three sequences per pose then five per surviving complex, with both initial RMSDs below 2 A	S1	Apixaban design section	docs/02_design_and_figures.md; configs/paper_profiles.json	Prescreen scope only
C15	author_report	Five of six selected apixaban designs tightly bind; APEX reported Kd is 80 pM	S1	Fig. 6 and characterization text	docs/01_story.md	Original curves not refitted
C16	author_report	APEX tracer affinity differs from unlabelled drug affinity; P(bind) is not a relative-affinity predictor in the reported comparison	S1	Fig. 6; Extended Data Fig. 7	docs/03_methods.md; docs/07_statistics.md	Claim limited to reported comparisons
C17	source_observation	Public NISE debug can bypass burial and RMSD gates	S2	identify_backbone_candidates	docs/06_code_and_execution.md; scripts/screen.py	Fixed-source observation; local screen deliberately rejects debug
C18	source_observation	Public NISE sequence NLL uses log10 and B-factor pLDDT is divided by 100	S2	sample_sequences; identify_backbone_candidates	docs/03_methods.md	No conversion of likelihood into physical energy
C19	source_observation	Public CLI defaults differ from historical paper branches	S5	build_parser	docs/06_code_and_execution.md; configs/paper_profiles.json	Verified CLI options; inference not executed
C20	mathematical_derivation	Docking consistency requires ligand RMSD after the protein-derived transform	S1 plus rigid-alignment formulation	Protein-frame ligand comparison	scripts/geometry.py; tests/test_methods.py	Synthetic geometry tests; no automatic chemical atom mapping
C21	mathematical_derivation	Tight binding and competition require total-concentration mass balance	S1 plus mass-action derivation	Figs. 4 and 6 analysis context	scripts/binding.py	Synthetic fit recovery; not original full global-fit implementation
C22	project_test	32 unit tests pass and all five published code/test blobs match local tested bytes	LOCAL	checks/unit_tests.txt; Git tree 517a0fc8e780c51c33d7cc61433826d3fea72c2a	checks/verification.json	CPU mathematical/input tests only
C23	unvalidated_hypothesis	Budget-matched independent evaluation may separate real closed-loop gains from proxy optimization	THIS_IDEA	docs/04_insights.md insight 5	docs/05_research_proposal.md aim A	Proposed; no improvement claimed
C24	unvalidated_hypothesis	Holo-apo and off-target proofreading contrasts may improve selection beyond holo-only probabilities	THIS_IDEA	docs/04_insights.md insight 4	docs/05_research_proposal.md aim B	Heuristic hypothesis; not calibrated binding free energy
C25	unvalidated_hypothesis	Occupancy-matched functional assays can separate binding occupancy from binding-state protection	THIS_IDEA	docs/04_insights.md insight 6	docs/05_research_proposal.md aim C	Mechanistic proposal; no new experiment performed
