path	bytes	git_blob_sha1	commit	role	author_analysis_executed
Figure 1.R	4133	e0a22a0b123d3ce0c6282dd066b15d8fd7dc0ef6	fba87dbee8dbae497b15b81a4b0fa79edccd17b2	figure_plotting	false
Figure 1E 4F.py	2261	00108269da6c13f8a61537ed6f3b3195f113b62b	fba87dbee8dbae497b15b81a4b0fa79edccd17b2	precomputed_map_normalization	false
Figure 2.R	5446	e54718045373bb9035e2e3b2154761eff8263af3	fba87dbee8dbae497b15b81a4b0fa79edccd17b2	precomputed_tree_heatmap_oncoprint	false
Figure 2C.py	4591	497c50bb55b178ed61bd2dbe4709c4a9fe6ac156	fba87dbee8dbae497b15b81a4b0fa79edccd17b2	precomputed_spatial_labels	false
Figure 3.R	9853	8bb87962a841a3d5437318163422f07401ea3e7c	fba87dbee8dbae497b15b81a4b0fa79edccd17b2	plotting_and_selected_tests	false
Figure 3K 3N.py	3427	2ac9f5ea2a9bace34e97191fbcadb19053f8a201	fba87dbee8dbae497b15b81a4b0fa79edccd17b2	precomputed_program_argmax	false
Figure 4.R	4452	55219000b11b1957acb6178ea1d2c2d6af09836a	fba87dbee8dbae497b15b81a4b0fa79edccd17b2	precomputed_scores_and_plotEdge	false
Figure 4G.py	2822	61e8a39a0d78c71d504861e01b91aca74e62b43b	fba87dbee8dbae497b15b81a4b0fa79edccd17b2	precomputed_program_argmax	false
Figure 5.R	6220	fc1fb907dddd5a84969b490982b470542d6e17a1	fba87dbee8dbae497b15b81a4b0fa79edccd17b2	precomputed_Xenium_and_neighborhood_plots	false
Figure 6.R	3878	a7b7d5420f58131b8a422040ce77e9f1e4e5b591	fba87dbee8dbae497b15b81a4b0fa79edccd17b2	mouse_plots_and_organoid_tests	false
Figure 6E 6F 7D.py	3878	9c50c10e1c23459a736f4965fba5e616303f5d27	fba87dbee8dbae497b15b81a4b0fa79edccd17b2	per_sample_quantile_overlay	false
Figure 6G.py	862	d4a929b146abadbdbf74323813561933c59e1b73	fba87dbee8dbae497b15b81a4b0fa79edccd17b2	communication_direction_and_plot	false
Figure 7.R	5907	3fe901d74e78c2131e0bc2948872fca91911323d	fba87dbee8dbae497b15b81a4b0fa79edccd17b2	intervention_plots_and_selected_tests	false
README.md	450	eb00ce8bc58fa03c4bfa1e750f70ec4d82903dcb	fba87dbee8dbae497b15b81a4b0fa79edccd17b2	repository_metadata	false
