analysis_id	parameter	paper_reported	code_observed	location	status	interpretation_limit
A01	clinical_cohort	108; pCR50; RD39; switched19	NA	P1 ARTEMIS Methods; Fig1	paper_reported	Not every analysis has these same denominators
A01	matched_scRNA_spatial	39 in design; 46 in archetype section	NA	P1 Study design / Tumour archetypes	unresolved_text_difference	Need patient/platform inclusion table; do not call 46 Xenium patients
A02	QC_min_UMI	500	NA	P1 Filtering of scRNA-seq data	paper_reported	Not a general recommended threshold
A02	QC_min_genes	150	NA	P1 Filtering of scRNA-seq data	paper_reported	Final cell manifest not recovered
A02	QC_mito_percent	<40	NA	P1 Filtering of scRNA-seq data	paper_reported	Processing and biological stress may both contribute
A02	genome	hg38	NA	P1 Data preprocessing	paper_reported	Exact reference bundle and run binding still required
A03	CopyKAT_version	1.0.8	NA	P1 Identification of aneuploid cells	paper_reported	Not actual local runtime
A03	normal_reference_cells	approximately800	NA	P1 Identification of aneuploid cells	paper_reported	Need reference cell IDs
A03	score_scaling_quantiles	0.05;0.995	0.005;0.995	C1:160-235;P1 CNA Methods	paper_code_difference	Lower-bound difference alone need not change calls with floor
A03	score_decision_quantile	0.99	0.99 followed by floor at1	C1:160-235	paper_code_difference	Finite nondegenerate rule implies raw score >Q0.995
A03	ACC_quantile	0.99	0.99	C1:160-235	declared_and_code	Final labels not recovered
A03	ACC_invalid_fallback	NA	0.5	C1:219-225	code_branch	Do not promote fallback to universal paper threshold
A03	query_profile_fraction	0.01	0.01	C1:181-190	declared_and_code	May emphasize dominant CNA profile; impact not measured
A04	final_identity	Leiden AND Tirosh; epithelial	multiple intermediate columns exist	P1 CNA/filtering Methods;C1:350-475	final_binding_missing	Must recover actual final cell IDs and chosen columns
A05	pseudobulk	Sum raw UMI by target cells and patient; VST	psbulk.prepare.R	P1 Creating pseudo-bulk;C3	input_missing	Not mean log-expression or whole-tissue bulk
A06	gene_filter	Top75% by mean and variance	last idx uses mean and variance above own means	C2:54-80	paper_code_difference	Existing input.matrix cache bypasses filter
A06	rank_scan	2-10	2:10	C2:88-109	declared_and_code	Chosen rank needs actual selection evidence
A06	centering	gene center then truncate negative	implemented	C2:72-80	declared_and_code	Learned reference depends on cohort
A06	NMF_tolerance	1e-5	1e-5	C2:88-109	declared_and_code	Does not validate biological interpretation
A06	L1	0.05	c(0.05,0.05)	C2:88-109	declared_and_code	Separate from other NMF branches
A07	top_two_ratio	largest / second largest	largest / next distinct value	C2:23-35	boundary_behavior	Ties create counterexample; patient impact unknown
A07	specificity_threshold	Two-component Gaussian mixtures	final fitted objects unavailable	P1 Identifying archetypes	object_missing	No arbitrary fixed tau threshold filled in
