module	parameter	value	unit	provenance_status	locator	interpretation_limit
cohort	sections	131	section	reported	P Abstract; Fig.1	不是独立病例数
cohort	blocks	98	block	reported	P Spatial microregions across cancers	一个block可有多张切片
cohort	cases	78	case	reported	P Abstract	部分图注口径未闭合
cohort	matched_snRNA	48	dataset	reported	P Abstract	不是每张切片一个独立配对
cohort	CODEX	22	sample	reported	P Abstract	需样本表确认对应关系
cohort	3d_sections	48	section	reported	P Abstract; Results	16samples与15blocks口径未调和
region	malignant_coverage	at_least_half	spot_pixels	reported	P Tumour microregion annotation and layer determination	初始病理标注不是自动恶性鉴定
region	minimum_region	remove_le_3	spots	reported	P Tumour microregion annotation and layer determination	不同于深度分析纳入阈值
region	area_per_spot	8660	um2	reported	P Average spot area and microregion size calculation	晶格覆盖面积; 非55um捕获圆
infercnv	version	1.10.1	version	reported	P InferCNV and CalicoST for CNV calling on Visium ST data	未安装
infercnv	visium_reference_count	200	spots	reported	P 同上	需实际参考ID与纯度排序
infercnv	window_length	151	genes	reported	P 同上	不得直接迁移靶向面板
infercnv	visium_analysis_mode	sample	mode	reported	P 同上	不是CLI默认值
infercnv	cli_analysis_mode	subcluster	mode	implemented_default	C01 option_list	可被实际argv覆盖; 版本枚举需核对
infercnv	cli_num_normal	-1	spots	implemented_default	C01 option_list	不是论文报告的200
infercnv	cli_BayesMaxPNormal	0.5	probability	implemented_default	C01 option_list	顶部0.3被覆盖
infercnv	cutoff	0.1	input_scale	implemented_literal	C01 infercnv::run	活动调用未执行
infercnv	denoise	TRUE	boolean	implemented_literal	C01 infercnv::run	未执行
infercnv	HMM	TRUE	boolean	implemented_literal	C01 infercnv::run	未执行
infercnv	cluster_by_groups	TRUE	boolean	implemented_literal	C01 infercnv::run	受输入annotation约束
infercnv	num_threads	8	threads	implemented_literal	C01 infercnv::run	不是端到端耗时证据
infercnv	counts_assay	DefaultAssay_dependent	assay	unresolved	C01 GetAssayData	slot=counts不能确认Spatial
calicost	study_run_configuration	unknown	configuration	unresolved	C02	仅工具指针
cnv_similarity	paper_definition	signed_length_weighted_product_over_nonneutral_union	score	reported	P Copy number profile similarity score calculation	允许负值; 全中性分母为零
cnv_similarity	legacy_denominator	A_nonneutral_union_B_deletion	intervals	implemented_literal	C06 CNV_profile_jaccard	不对称; 与论文公式不同
cnv_similarity	probability_definition	statewise_union_with_confidence_product	score	implemented_literal	C06 CNV_profile_jaccard_prob	非负; 与有符号公式不同
cnv_similarity	terminal_matrix	jac_pred_mat	matrix	implemented_literal	C06 distmat_selected	不把无概率分支缺陷直接归给此分支
cnv_cluster	linkage	ward.D2	method	reported	P Spatial subclone identification based on CNV profile similarity	须检查实际距离性质
cnv_cluster	paper_cut	0.8_times_max_height	height	reported	P 同上	还有人工检查; 需最终决策记录
cnv_cluster	code_K_candidates	2_through_10	clusters	implemented_literal	C06 MAX_K; cutree loop	候选脚本不等于最终切分
cnv_cluster	code_kgs_alpha	2	parameter	implemented_literal	C06 maptree::kgs	不能当最终K证明
depth	minimum_spots	50	spots	reported	P Spot-depth correlation analysis	限定可检验总体
depth	minimum_layers	3	layers	reported	P 同上	浅小区域不回答相同核心问题
depth	gene_detection_fraction	greater_than_0.5	fraction	reported	P 同上	未检验与无效应不同
depth	paper_normalization	layer_div_max_layer	fraction	reported	P 同上	与端点归一化不可全局自动等同
depth	code_normalization	(FC-1)/(FC_max-1)	fraction	implemented_literal	C07 FC_frac	这是已读对象; 不证明上游TSV采用它
depth	purity_source	RCTD_or_ESTIMATE	covariate	reported	P 同上	不是同一个无误差金标准
depth	statistics_generation	precomputed_TSV_upstream_unresolved	pipeline	unresolved	C07 read_tsv	文件名不证明完整偏相关计算
gsea	package	clusterProfiler_3.18.1	version	reported	P Spot-depth GSEA pathway enrichment analysis	未安装
gsea	gene_set_package	msigdbr_7.5.1	version	reported	P 同上	需实际gene set快照
gsea	initial_pvalueCutoff	0.5	P	reported	P 同上	不是最终结论阈值
