panel	question	input	display_or_output	statistical_unit	audit_boundary	visual_status	code_status
Fig1a	临床取样如何连接血液与骨髓	患者、时点、治疗与测序信息	时间线	患者/访视	时间先后不等于因果	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig1b	delta cfDNA变化是否与PFS相关	基线与C2D1 RF差值、生存与删失	KM及risk table	患者	中位数二分；治疗后landmark；非治疗交互检验	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig1c	哪些免疫群体在应答者富集	骨髓注释和每患者组成	C2D1组间比例比较	患者而非细胞	分选后相对组成，不是原位绝对密度	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig2a	受体如何成为功能真值	scCITE+VDJ、配对受体、报告系统	筛选流程	受体/供者	生物受体到工程构建必须映射	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig2b	哪些受体识别至少一种MM靶	TCR×靶细胞×实验GFP差值	TR激活矩阵	受体、独立实验	只展示超过阈值者；不能估总体TR率	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig2c	是否只是异体细胞系反应	两个供者匹配原代MM及八个受体	TR/NTR反应比较	供者内受体；供者仅少量	匹配肿瘤不等于匹配正常组织安全	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig2d	能否区分肿瘤与健康	健康细胞面板激活读出	健康靶反应矩阵	靶供者/受体/实验	健康读出GFP+CD69+；自反应例外	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig2e	是否跨癌种识别	各癌种多个细胞系反应	按癌种最大响应	受体×靶细胞系	最大值不是癌种平均或总体覆盖率	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig2f	受体转移能否赋予杀伤	去除alpha-beta TCR的原代T细胞导入gamma-delta受体	luciferase杀伤	原代T细胞供者	三个供者重复；非受体天然微环境	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig3a	表型如何与功能标签连接	19RNA+5ADT+三项周期特征、受体真值	监督训练框架	细胞嵌套克隆供者	不是TCR序列模型	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig3b	内部区分度	多模型细胞级预测分数与真值	ROC和AUC	CV细胞；依赖clone/donor	全数据特征选择；与review组留出分开	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig3c	高分筛选是否节省实验	验证1高分且可表达的候选	激活矩阵；21/25	候选受体来自六供者	表达失败替补；条件命中率	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig3d	分数两端是否可区分	验证2最高五、最低五候选	激活矩阵；两端匹配	候选受体来自八供者	不能估整体准确率	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig3e	功能标签与克隆大小的关系	细胞、克隆、体外标签	packed circle，每点一细胞按克隆分组	细胞/克隆	布局面积是数量不是生物学距离	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig3f	跨队列候选排序及阈值	每克隆最大分数、频率、可用真值	分布点图，size编码克隆频率	克隆/供者/癌种	0.85回顾性选择；未测真值保持未知	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig4a	TR在表达图谱何处	冻结WNN坐标和功能标签	同一嵌入上的标签着色	细胞	不是另跑监督嵌入；未测不当NTR	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig4b	两类gamma-delta状态中TR数量	GZMB/GZMK状态与标签列联	细胞绝对计数	细胞描述量	状态细胞数不等同TR独立克隆数	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig4c	TR是否扩增	每克隆细胞数及实验标签	TR/NTR克隆大小箱图	48TR、73NTR克隆	克隆仍嵌套供者；供者等权敏感性	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig4d	V基因使用是否相关	实验验证受体Vgamma/Vdelta	频率及Fisher检验	受体/供者	亚型组成与功能表型可能混杂	caption_only; original pixels not available	Not inspected; Zenodo unavailable
