analysis	scope	parameter	value	provenance	source_id	locator	notes
GEX	both	kb_python	0.27.3	reported	P2	Gene expression preprocessing	
GEX	both	reference_genome	mm10	reported	P2	Gene expression preprocessing	不得与人数据合并gene_id空间
GEX	Slide-seq	expression_UMI_min	150	reported	P2	PDF 8-9	表达UMI，不是谱系target-site UMI
GEX	Slide-seq	normalization_target	per-library median total counts	reported	P2	PDF 8-9	不是所有模块通用1e4
GEX	Slide-seq	scale_max_value	10	reported	P2	PDF 8-9	与C6默认scale调用不可无条件合并
ENV	supplement	Scanpy	1.11.5	reported	P2	Gene expression preprocessing	与P3不同，未确认每分析实际环境
ENV	reporting_summary	Scanpy	1.10.0	reported	P3	Software and code	与P2不同
GEX	Slide-tags	CellBender	0.3.0	reported	P2	PDF 8-9	
GEX	Slide-tags library 9	empty_drop_training_fraction	0.15	reported	P2	Slide-tags preprocessing	仅指定library例外
GEX	Slide-tags library 9	total_droplets	20000	reported	P2	Slide-tags preprocessing	仅指定library例外
GEX	Slide-tags library 9	learning_rate	0.0001	reported	P2	Slide-tags preprocessing	
GEX	Slide-tags library 9	epochs	300	reported	P2	Slide-tags preprocessing	
GEX	Slide-tags	mitochondrial_ribosomal_threshold	library-specific 5-15%	reported	P2	Slide-tags preprocessing	不是单一通用阈值
LINEAGE	both	Cassiopeia	2.0.0	reported	P2	Lineage preprocessing	当前仓库master不能替代论文版本
LINEAGE	Slide-seq	min_umi_per_cell	2	reported	P2	PDF 10	谱系UMI
LINEAGE	Slide-seq	allow_allele_conflicts	True	reported	P2	PDF 10	混合spot；不按真正单细胞处理
LINEAGE	Slide-seq	doublet_filter	disabled	reported	P2	PDF 10	
LINEAGE	Slide-seq	max_hq_mismatches	3	reported	P2	PDF 10	UMI collapse
LINEAGE	Slide-seq	max_indels	2	reported	P2	PDF 10	UMI collapse
LINEAGE	Slide-tags	min_umi_per_cell	5	reported	P2	PDF 10	谱系UMI
LINEAGE	Slide-tags	intBC_whitelist_distance	1	reported	P2	PDF 10	
LINEAGE	Slide-tags	UMI_correction_distance	2	reported	P2	PDF 10	
LINEAGE	Slide-tags	minimum_intBC_UMI	5	reported	P2	PDF 10	
LINEAGE	Slide-tags	doublet_conflict_threshold	35%	reported	P2	PDF 10	
TREE	Slide-seq	hybrid_solver	Greedy + NeighborJoining	reported	P2	PDF 11-12	
TREE	Slide-seq	switch_subpopulation	1000	reported	P2	PDF 11-12	C2 NJ hybrid函数默认500；实际调用覆盖未知
TREE	NJ hybrid utility default	cell_cutoff	500	code_default	C2	cassiopeia_hybrid_neighbor_joining signature	不是运行参数
TREE	Slide-tags	hybrid_solver	Greedy + ILP	reported	P2	PDF 11-12	需要检查Gurobi与许可证
TREE	Slide-tags	lca_cutoff	20	reported	P2	PDF 11-12	
TREE	Slide-tags	maximum_potential_graph_layer_size	10000	reported	P2	PDF 11-12	
TREE	Slide-tags	maximum_potential_graph_lca_distance	15	reported	P2	PDF 11-12	
TREE	Slide-tags	convergence_time_limit_seconds	12600	reported	P2	PDF 11-12	这是上限，不是实测耗时
IMPUTE	semi-synthetic benchmark	mask_fraction	0.10	reported	P2	Imputation validation	与正式运行参数分开
IMPUTE	semi-synthetic benchmark	minimum_input_UMI	3	reported	P2	Imputation validation	
IMPUTE	semi-synthetic benchmark	radius_um	30	reported	P2	Imputation validation	
IMPUTE	semi-synthetic benchmark	concordance	0.8	reported	P2	Imputation validation	C2默认0.7不能直接替代
IMPUTE	semi-synthetic benchmark	minimum_support_votes	5	reported	P2	Imputation validation	原caller未使用第三返回值检查支持数
IMPUTE	semi-synthetic benchmark	replicates	5	reported	P2	Imputation validation	不是动物重复
IMPUTE	create_character_matrix default	imputation_concordance	0.7	code_default	C2	create_character_matrix	不同scope，须找到最终调用
