sample_id	unique_paired_sequences	total_gd_cells	source	verification_limit
MM01	14	54	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM02	31	105	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM03	26	66	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM04	37	234	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM05	16	16	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM06	7	45	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM07	14	60	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM08	6	8	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM09	3	3	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM10	77	317	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM11	14	31	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM12	6	25	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM13	8	21	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM14	32	300	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM15	223	6879	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM16	25	207	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM17	14	101	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM18	57	230	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM19	67	379	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM20	39	190	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM21	17	169	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
MM22	33	134	Supplementary Table 4, PDF physical p5	Parsed-text manual transcription; original PDF bytes and page image not captured
