analysis_id	正文主张	figure/panel	method与参数	code位置	输入/输出	复现状态	冲突或缺口
A01	发现队列与统计单位; EV_A01_PAPER_CLAIM; F002-F003;F036	图注描述该分析的展示内容；像素未取得。; Fig1A; EV_A01_FIGURE; CAP01	CosMx 与 MERSCOPE 构成发现材料；细胞、切片与患者层级应分开。; EV_A01_METHOD; F002-F003;F036; CosMx_sections; 8; reported; EV_A01_METHOD; MERSCOPE_sections; 16; reported; EV_A01_METHOD	未提供/未找到; EV_A01_CODE; missing; missing	A01_INPUT; EXPECTED_NOT_ACQUIRED/A01_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A01_OUTPUT; EXPECTED_NOT_GENERATED/A01_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A01_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A01_CODE; A01_INPUT; EV_A01_METHOD; A01_G_DETAIL; 患者-标本-切片映射和完整样本表未取得。; 限制方法唯一确定性或科学解释强度。; EV_A01_PAPER_CLAIM; EV_A01_METHOD
A02	主要细胞类型注释; EV_A02_PAPER_CLAIM; F032;F041-F046	仅有 Results 图引用，不能作逐 panel 视觉核验。; FigS1; EV_A02_FIGURE; 原图/完整图注未取得；Results 图引用 FigS1	初始 Seurat v4.3.1/SCTransform、全基因 PCA；基质整合前排除肿瘤/上皮，按样本 RPCA；FindAllMarkers。; EV_A02_METHOD; F032;F041-F046; cell_feature_counts_lt; 20; reported; EV_A02_METHOD; initial_normalization; SCTransform; reported; EV_A02_METHOD; initial_PCA_features; all genes; reported; EV_A02_METHOD; expression_clustering_resolution; 0.5; reported; EV_A02_METHOD; integration; RPCA; reported; EV_A02_METHOD; integration_batch_key; sample; reported; EV_A02_METHOD; stromal_integration_excludes; epithelial/tumor cells; reported; EV_A02_METHOD; assay_transition_and_full_preprocessing_call; unreported; EV_A02_METHOD	未提供/未找到; EV_A02_CODE; missing; missing	A02_INPUT; EXPECTED_NOT_ACQUIRED/A02_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A02_OUTPUT; EXPECTED_NOT_GENERATED/A02_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A02_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A02_CODE; A02_INPUT; EV_A02_METHOD; A02_G_DETAIL; 主要步骤已补全；实际 assay/slot、QC变量语义、RPCA参数、肿瘤标签回填及代码未取得。; 限制方法唯一确定性或科学解释强度。; EV_A02_PAPER_CLAIM; EV_A02_METHOD
A03	物理半径邻域; EV_A03_PAPER_CLAIM; F004-F005	图注描述该分析的展示内容；像素未取得。; Fig1A; EV_A03_FIGURE; CAP01	CAF 中心的物理半径邻域，组成是细胞类型比例。; EV_A03_METHOD; F004-F005; radius_um; 80; reported; EV_A03_METHOD; self_inclusion; unreported; EV_A03_METHOD; edge_policy; unreported; EV_A03_METHOD	未提供/未找到; EV_A03_CODE; missing; missing	A03_INPUT; EXPECTED_NOT_ACQUIRED/A03_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A03_OUTPUT; EXPECTED_NOT_GENERATED/A03_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A03_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A03_CODE; A03_INPUT; EV_A03_METHOD; A03_G_DETAIL; 自身纳入、边缘截断、零邻居和空间分块规则未核实。; 限制方法唯一确定性或科学解释强度。; EV_A03_PAPER_CLAIM; EV_A03_METHOD
A04	NMF 表征; EV_A04_PAPER_CLAIM; F006	图注描述该分析的展示内容；像素未取得。; Fig1A; EV_A04_FIGURE; CAP01	NMF 包 v0.27 的 nmf；潜在因子与语义类别分开。; EV_A04_METHOD; F006; nmf_rank; 5; reported; EV_A04_METHOD; nmf_objective; unreported; EV_A04_METHOD; nmf_seed; unreported; EV_A04_METHOD; factor_scaling; unreported; EV_A04_METHOD	未提供/未找到; EV_A04_CODE; missing; missing	A04_INPUT; EXPECTED_NOT_ACQUIRED/A04_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A04_OUTPUT; EXPECTED_NOT_GENERATED/A04_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A04_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A04_CODE; A04_INPUT; EV_A04_METHOD; A04_G_DETAIL; NMF 算法、损失、初始化、种子和因子尺度处理未取得。; 限制方法唯一确定性或科学解释强度。; EV_A04_PAPER_CLAIM; EV_A04_METHOD
A05	因子图与 Leiden; EV_A05_PAPER_CLAIM; F007	图注描述该分析的展示内容；像素未取得。; Fig1A; EV_A05_FIGURE; CAP01	Methods 标注 Seurat v4.3 与 Leiden resolution 0.1。; EV_A05_METHOD; F007; leiden_resolution; 0.1; reported; EV_A05_METHOD; graph_k; unreported; EV_A05_METHOD; graph_metric; unreported; EV_A05_METHOD	未提供/未找到; EV_A05_CODE; missing; missing	A05_INPUT; EXPECTED_NOT_ACQUIRED/A05_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A05_OUTPUT; EXPECTED_NOT_GENERATED/A05_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A05_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A05_CODE; A05_INPUT; EV_A05_METHOD; A05_G_DETAIL; 建图、实际函数调用和标签合并规则未取得。; 限制方法唯一确定性或科学解释强度。; EV_A05_PAPER_CLAIM; EV_A05_METHOD
A06	空间类别语义; EV_A06_PAPER_CLAIM; F018	图注描述该分析的展示内容；像素未取得。; Fig1B; Fig1C; EV_A06_FIGURE; CAP01	基于主导邻域组成注释空间 CAF 类别。; EV_A06_METHOD; F018	未提供/未找到; EV_A06_CODE; missing; missing	A06_INPUT; EXPECTED_NOT_ACQUIRED/A06_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A06_OUTPUT; EXPECTED_NOT_GENERATED/A06_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A06_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A06_CODE; A06_INPUT; EV_A06_METHOD; A06_G_DETAIL; 原始 cluster 到最终语义类别的映射表未取得。; 限制方法唯一确定性或科学解释强度。; EV_A06_PAPER_CLAIM; EV_A06_METHOD
A07	空间与分子 CAF 对应; EV_A07_PAPER_CLAIM; F019;F032;F045	图注描述该分析的展示内容；像素未取得。; Fig1D; Fig1E; Fig1F; Fig3C; EV_A07_FIGURE; CAP01;CAP03	DEG 与分子签名用于描述空间类别对应关系。; EV_A07_METHOD; F019;F032;F045; DEG_test_and_unit; unreported; EV_A07_METHOD	未提供/未找到; EV_A07_CODE; missing; missing	A07_INPUT; EXPECTED_NOT_ACQUIRED/A07_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A07_OUTPUT; EXPECTED_NOT_GENERATED/A07_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A07_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A07_CODE; A07_INPUT; EV_A07_METHOD; A07_G_DETAIL; 完整 DEG 表、签名和患者层检验实现未取得。; 限制方法唯一确定性或科学解释强度。; EV_A07_PAPER_CLAIM; EV_A07_METHOD
A08	T 细胞状态赋型; EV_A08_PAPER_CLAIM; F033	仅有 Results 图引用，不能作逐 panel 视觉核验。; Fig2B; EV_A08_FIGURE; 原图/完整图注未取得；Results 图引用 Fig2B	GSVA 评分后采用最高签名分数赋型。; EV_A08_METHOD; F033; GSVA_version; 1.52; reported; EV_A08_METHOD; signature_coverage_policy; unreported; EV_A08_METHOD	未提供/未找到; EV_A08_CODE; missing; missing	A08_INPUT; EXPECTED_NOT_ACQUIRED/A08_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A08_OUTPUT; EXPECTED_NOT_GENERATED/A08_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A08_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A08_CODE; A08_INPUT; EV_A08_METHOD; A08_G_DETAIL; TableS5、历史 API 调用和缺失基因处理未取得。; 限制方法唯一确定性或科学解释强度。; EV_A08_PAPER_CLAIM; EV_A08_METHOD
A09	邻域通信候选; EV_A09_PAPER_CLAIM; F034	仅有 Results 图引用，不能作逐 panel 视觉核验。; Fig2A; EV_A09_FIGURE; 原图/完整图注未取得；Results 图引用 Fig2A	CellChat 与 CellPhoneDB 的结果被合并。; EV_A09_METHOD; F034; database_version; unreported; EV_A09_METHOD; combination_rule; unreported; EV_A09_METHOD	未提供/未找到; EV_A09_CODE; missing; missing	A09_INPUT; EXPECTED_NOT_ACQUIRED/A09_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A09_OUTPUT; EXPECTED_NOT_GENERATED/A09_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A09_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A09_CODE; A09_INPUT; EV_A09_METHOD; A09_G_DETAIL; 数据库、输入尺度、复合体规则和合并逻辑未核实。; 限制方法唯一确定性或科学解释强度。; EV_A09_PAPER_CLAIM; EV_A09_METHOD
A10	跨样本与平台相似性; EV_A10_PAPER_CLAIM; F008-F010	图注描述该分析的展示内容；像素未取得。; Fig3A; Fig3B; FigS5A; EV_A10_FIGURE; CAP03	样本内/平台内拟合范围有区别；邻域除全片组成后做相关比较。; EV_A10_METHOD; F008-F010; similarity_metric; Pearson; reported; EV_A10_METHOD; zero_denominator_policy; unreported; EV_A10_METHOD	未提供/未找到; EV_A10_CODE; missing; missing	A10_INPUT; EXPECTED_NOT_ACQUIRED/A10_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A10_OUTPUT; EXPECTED_NOT_GENERATED/A10_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A10_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A10_CODE; A10_INPUT; EV_A10_METHOD; A10_G_DETAIL; 稀有类别处理、匹配规则与全套相似矩阵未取得。; 限制方法唯一确定性或科学解释强度。; EV_A10_PAPER_CLAIM; EV_A10_METHOD
