id	path	commit	inspection_depth	locator_or_role	executed
C0	transcriptomics/notebooks/Xenium_Preprocessing_step00_raw_tenx_to_adata_locked20260318.ipynb	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	complete_file; prior capture git blob rechecked	cell 4/5/8; compile_adata	false
C1	README.md	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	read	data resources and 2026-05-14 annotation update	false
C2	transcriptomics/notebooks/Xenium_Preprocessing_step03_compute_neighborhoods_simplified_locked20260410.ipynb	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	selected_functions_and_active_cells	compute_sample_neighborhoods; filter_neighborhood; cell 11	false
C3	transcriptomics/notebooks/Xenium_Preprocessing_step08_diffusion_components_locked20260318.ipynb	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	selected_functions_and_active_cells	get_diffusion_operator_cpu; getDiffusionComponents_cpu; cells 5/10/12/13/15	false
C4	utils/neighborhood_utils.py	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	functions_read; k-helper range reread	L32-L44 average; L113-L120 k helper	false
C5	multiome_Fig7_FigS6/notebooks/ATAC_processing/multiome_ATAC_step00_archR_preprocessing_locked20260318.R	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	complete_file; prior capture git blob rechecked	createArrowFiles; custom_QC; addDoubletScores; proj2	false
N1	transcriptomics/notebooks/Xenium_Precompute_Fig2_morphology_locked20260205.ipynb	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	located_only	morphology; no recovered lumen formula	false
N2	transcriptomics/notebooks/Xenium_GenerateFigure_Fig2_Fig3_locked20260305.ipynb	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	located_only	main spatial figures	false
N3	transcriptomics/notebooks/Xenium_GenerateFigure_Fig3_Fig5_locked20260503.ipynb	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	located_only	niche and communication figures	false
N4	transcriptomics/notebooks/Xenium_GenerateFigure_Fig6_FigS5_milo_locked20260206.ipynb	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	located_only	Milo; active design unverified	false
N5	transcriptomics/notebooks/Xenium_GenerateFigure_FigureS2_niche_robustness_locked20260305.ipynb	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	located_only	radius sensitivity; not recomputed	false
N6	transcriptomics/notebooks/Injury_shp53_GenerateFigure_Fig7_FigS6_locked20260204.ipynb	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	located_only; content retrieval failed	state matching; no matching parameters attributed	false
N7	transcriptomics/notebooks/FLEX_Calligraphy_preprocessing_locked20260305.ipynb	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	located_only	communication module preparation	false
N8	transcriptomics/notebooks/FLEX_Calligraphy_GenerateFigure_FigS7_locked20260305.ipynb	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	located_only	communication figure	false
N9	imaging_human_TMA_Fig4/notebooks/	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	directory_only	human imaging, typing, niche analysis	false
N10	multiome_Fig7_FigS6/notebooks/ATAC_processing/	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	directory_only_except_C5	p53 motif/coverage/downstream steps	false
N11	transcriptomics/notebooks/environment_rapidsai.yml	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	located_only	environment; not installed	false
N12	transcriptomics/notebooks/environment_diffxpy.yml	a97d1a42cede4c12416875a4aa50d3d63ee1fffd	located_only	environment; not installed	false
