analysis_id	正文主张	figure/panel	method与参数	code位置	输入/输出	复现状态	冲突或缺口
A01	先定义形态和位置相关微区域，不把区域直接等同遗传克隆	Fig.1；Methods: Tumour microregion annotation and layer determination	恶性形态覆盖至少一半spot；不超过3个spot的区域改为间质；形态学细化	C1:Figure1/README.md；C4:Morph/README.md；主要为README及方法定位	H&E、spot坐标和人工标注→microregion、边界、层级	受阻	原始标注、逐样本形态学设置及发表时Morph完整运行版本未闭合
A02	以格网覆盖面积描述微区域大小与分布	Fig.1；Methods: Average spot area and microregion size calculation	每spot平均覆盖面积8660 μm²，而非捕获圆面积	C1:Figure1/1_Calculate_metrics/script/1_get_size.r；路径定位	微区域spot数→面积与密度指标	受阻	未复算真实区域；总体、模块和病理亚组样本口径需逐样本对照
A03	由空间RNA及参考推断CNV，并结合CalicoST信息	Fig.2a–g；Methods: InferCNV and CalicoST for CNV calling on Visium ST data	论文Visium参考200个低纯度非恶性spot，window151，sample模式；与CLI默认分开	C1:Figure2/1_inferCNV_run.R::CreateInfercnvObject,infercnv::run；Figure2/2_CalicoST_run.md	原始counts、基因坐标、正常参考、微区域→连续/离散CNV、BAF及区域轮廓	受阻	assay、参考回退是否触发及最终命令未知；CalicoST文件仅为上游链接
A04	根据CNV轮廓相似性归组空间亚克隆	Fig.2；Methods: Copy number profile similarity score calculation；Spatial subclone identification based on CNV profile similarity	论文有符号长度加权乘积，ward.D2及0.8×最大树高切分；活动脚本选择jac_pred_mat并探索K	C1:Figure2/3_CNV_jaccard_similarity.R::CNV_profile_jaccard,CNV_profile_jaccard_prob；distmat_selected	CNV segments和WES支持→相似度矩阵、候选树、人工复核clone标签	材料冲突	硬调用函数不对称风险与选中概率路径必须分开；公式/切树与活动代码未绑定最终结果
A05	利用DNA候选变异及空间RNA覆盖支持遗传身份定位	Fig.2h–i；Methods: Mutation calling using WES；Mutation mapping to snRNA-seq and ST data；Spatial mutation VAF statistical test	WES候选；Visium xf:i:25；空间覆盖>30 reads；binomial/prop.test及多重校正	C1:Figure2/4_WES_CNV.sh；Figure2/6_mutation_mapping.sh；本轮为路径定位	WES候选、ST/snRNA BAM→参考/变异计数、区域VAF与检验	受阻	未闭合scVarScan读段/UMI实现、原始输入与最终候选表；RNA VAF不等于DNA克隆比例
A06	LDHB总表达与选定位点变异的空间分布不同，Xenium增加原位支持	Fig.2h–j；Methods: Xenium probe design	预先选定WT/variant探针；不是全基因组无偏变异发现	论文方法及图注；本次未取得完整原位分析代码链	选定位点、匹配切片、WT/variant信号→空间定位支持	受阻	未量化原始探针信号/背景/效率；无信号不等于DNA野生型；位点锚点不等于驱动作用
A07	同一可检测CNV克隆内仍存在转录异质性	Extended Data Fig.6–7；Methods: Microregion transcriptional profile analysis	1−ROGUE；top500可变基因；非恶性黑名单与GSEA	C1:Figure3/1_Heterogenity_score/script/calculate_ROGUE.R；Figure3/2_Correlation/script/1_plot_cor_heatmap.r；Figure3/3_Pathway/script/GSEA_analysis.r；主要为路径定位	区域表达、身份、参考→异质性、成对相关和程序差异	受阻	同一区域参与多个pair；参考、黑名单和最终输入未全取得；没有完整辅助函数审计
A08	核心—边缘表达关联需考虑深度和纯度	Extended Data Fig.8；Methods: Spot-depth correlation analysis	至少3层和50spot；基因在>50%spot检出；深度归一化及纯度调整	C1:Figure3/4_Layer/2_layer_DEG_correlation.R#L79-L104；读取预计算TSV	区域、层深、表达、纯度→基因位置效应及汇总	受阻	论文layer/max_layer与对象端点归一化不同；生成统计TSV的上游未闭合；归一化不自动赋等权
A09	边界附近的细胞组成和表达来源具有位置结构	Fig.3a–d；Methods: ST cell-type decomposition；Spatial expression deconvolution	RCTD multi；六个内外层级；参考表达与比例辅助来源判断	C1:Figure4/1_RCTD_devolution.R::Reference,SpatialRNA,create.RCTD,run.RCTD；Figure4/4_border_DEG.R	配对snRNA和ST、边界标签→比例、边界DEG与来源推断	受阻	实际参考类别>50细胞；边界宽度CLI覆盖；逐样本输入/参数未绑定；推断不是实测单细胞表达
A10	边界通信富集和药物签名用于提出候选，而非直接机制或疗效	Fig.3e；Methods: Spatial cell–cell interaction at tumour boundary；Spatial subclone-specific treatment response analysis	CellChat、论文1000μm、差异>0.1和FDR<0.05；LINCS签名匹配	C1:Figure4/5_CCI_COMMOT.py::spatial_communication,communication_direction；LINCS按Methods定位	空间表达、LR先验、候选DEG→通信分数和扰动候选	受阻	坐标单位/CLI类型与可选数据库分支需核；未做原数据推理；通信不证明结合、方向或因果
A11	二维分离区域可以在连续切片中形成三维连通体	Fig.4；Methods: Serial section alignment and branching factor calculation	PASTE2、最近spot配对、论文>3跨层连接；单连通图E−V+1	C1:Figure5/1_run_PASTE2/src/1_runPASTE.py；Figure5/2_PASTE2_analysis/2_get_matching_spot/script/1_get_matching_spot_batch2.r；其余见docs/05	同组织连续切片、z间距、微区域→边表、连通体、degree/loop	受阻	仅定位主要路径；连接谓词、配准误差及最终边表未复算；不是谱系或时间轨迹
A12	三维邻域接触关系与不同肿瘤身份相关	Fig.5；Methods: Neighbourhood identification；3D neighbourhood construction and integration	分层邻域、重建+邻域一致损失、z插值、Leiden整合；肿瘤阈值与mesh	C2:notebooks/manuscript/submission_v1/step3_train_mushroom_cancer_v2.ipynb；mushroom/mushroom.py；step7仅路径定位	配准HE/CODEX/Visium→邻域概率、插值体积、接触比例、表面特征	受阻	cases为空；外部metadata/权重/最终超参数未取得；尺度文字冲突；未读全部loss及后处理实现
A13	CODEX提供细胞及蛋白层支持，但依赖分割与门控	Fig.3c；Fig.5f–h；Methods: Cell-type annotation of CODEX imaging data	Mesmer；人工每图阈值；>5%阳性像素与样本相关AND门控	C3:multiplex_imaging_pipeline/segmentation.py::segment_cells,remove_labeled_edges,keep_first	OME-TIFF、通道、分割/门控→细胞类别及局部蛋白信息	受阻	当前代码晚于论文；历史通道和逐图门控未闭合；marker阳性不等于功能状态
